home_team_id,home_score,away_team_id,away_score,home_goal_points,home_deffence_points,home_attack_points,home_agi,home_save_points,home_attacks,home_chance_construct_rate,home_shooting_success_rate,home_capture_points,home_pass_points,home_dribble_points,away_goal_points,away_deffence_points,away_attack_points,away_agi,away_save_points,away_attacks,away_chance_construct_rate,away_shooting_success_rate,away_capture_points,away_pass_points,away_dribble_points,result,diff_goal_points,diff_attack_points,diff_deffence_points,diff_agi,diff_save_points,diff_chance_construct_rate,diff_shooting_success_rate,diff_attacks,diff_capture_points,diff_pass_points,diff_dribble_points,home_attack_vs_away_defense,away_attack_vs_home_defense,home_overall,away_overall,diff_overall
54,2,52,0,29.11,88.7,127.04,47.3,2.79,121.7,11.4,9.3,589.11,98.1,12.9,14.75,96.98,76.54,49.4,3.22,126.9,8.8,6.4,648.22,56.93,9.51,1,14.36,50.5,-8.280000000000001,-2.1000000000000014,-0.43000000000000016,2.5999999999999996,2.9000000000000004,-5.200000000000003,-59.110000000000014,41.169999999999995,3.3900000000000006,1.309960681587886,0.8629085836630683,38.34,-20.439999999999998,58.78
44,2,50,0,22.48,93.31,84.49,51.7,1.2,121.7,10.4,10.5,505.77,66.23,5.97,16.0,103.7,62.96,42.3,4.9,126.2,7.7,10.3,596.23,53.26,3.95,1,6.48,21.529999999999994,-10.39,9.400000000000006,-3.7,2.7,0.1999999999999993,-4.5,-90.46000000000004,12.970000000000006,2.0199999999999996,0.8147540197922835,0.6747400412881748,-8.820000000000007,-40.74,31.919999999999995
12,1,4,0,16.72,84.56,97.46,54.2,0.75,125.9,10.6,7.5,778.79,76.18,5.99,11.82,107.64,101.57,40.7,3.87,114.9,8.0,6.3,516.79,82.53,8.37,1,4.899999999999999,-4.109999999999999,-23.08,13.5,-3.12,2.5999999999999996,1.2000000000000002,11.0,262.0,-6.349999999999994,-2.379999999999999,0.9054254082659412,1.201158798349243,12.899999999999991,-6.070000000000007,18.97
27,2,39,2,18.51,110.68,76.56,48.6,2.3,117.0,10.1,7.2,552.17,54.99,9.25,44.62,91.21,118.26,45.1,2.2,117.4,13.9,13.2,611.15,92.98,12.28,0,-26.109999999999996,-41.7,19.470000000000013,3.5,0.09999999999999964,-3.8000000000000007,-5.999999999999999,-0.4000000000000057,-58.98000000000002,-37.99,-3.0299999999999994,0.8393815547218996,1.0684856280732176,-34.120000000000005,27.05000000000001,-61.170000000000016
30,3,21,0,26.08,100.42,109.18,51.0,2.97,120.0,10.4,11.5,657.49,89.32,6.54,16.32,86.52,114.31,49.6,2.21,120.9,11.2,6.3,574.22,90.21,7.95,1,9.759999999999998,-5.1299999999999955,13.900000000000006,1.3999999999999986,0.7600000000000002,-0.7999999999999989,5.2,-0.9000000000000057,83.26999999999998,-0.8900000000000006,-1.4100000000000001,1.261904616053558,1.138318946592417,8.760000000000005,27.790000000000006,-19.03
37,1,31,0,16.44,102.46,100.95,47.0,1.86,124.1,9.6,6.0,661.63,76.73,10.41,30.18,98.21,101.26,46.7,1.75,108.7,11.7,10.1,591.95,80.82,7.3,1,-13.739999999999998,-0.3100000000000023,4.25,0.29999999999999716,0.1100000000000001,-2.0999999999999996,-4.1,15.399999999999991,69.67999999999995,-4.089999999999989,3.1100000000000003,1.0278992945831082,0.9882880159781363,-1.509999999999991,3.0500000000000114,-4.560000000000002
38,0,36,0,29.83,104.23,103.98,50.9,0.81,116.4,13.6,9.0,594.36,74.39,8.39,31.96,98.85,98.34,54.3,1.81,125.4,10.5,12.0,585.47,78.89,8.14,0,-2.1300000000000026,5.640000000000001,5.38000000000001,-3.3999999999999986,-1.0,3.0999999999999996,-3.0,-9.0,8.889999999999986,-4.5,0.25,1.051896706940141,0.9434902673423902,-0.25,-0.5099999999999909,0.2599999999999909
40,0,23,0,13.74,112.08,64.13,46.2,1.42,115.1,7.9,6.3,601.41,51.53,4.83,7.01,99.33,82.46,51.2,2.9,132.6,7.9,4.1,719.58,66.57,4.96,0,6.73,-18.33,12.75,-5.0,-1.48,0.0,2.2,-17.5,-118.17000000000007,-15.039999999999992,-0.1299999999999999,0.6456256271392703,0.7357244168696987,-47.95,-16.870000000000005,-31.08
33,1,32,0,27.97,108.35,102.98,53.2,2.9,120.4,10.2,11.6,621.48,82.21,9.51,33.8,123.46,101.24,44.8,3.87,116.1,8.2,17.9,562.56,84.36,6.92,1,-5.829999999999998,1.740000000000009,-15.11,8.400000000000006,-0.9700000000000002,2.0,-6.299999999999999,4.300000000000011,58.92000000000007,-2.1500000000000057,2.59,0.8341162454142034,0.9343792400203746,-5.36999999999999,-22.22,16.85000000000001
28,1,22,2,16.69,103.46,83.87,48.8,1.03,116.9,8.3,8.8,657.48,69.14,5.74,20.03,108.95,87.95,63.4,2.96,123.0,9.9,10.6,617.68,65.84,5.32,2,-3.34,-4.079999999999998,-5.490000000000009,-14.600000000000001,-1.93,-1.5999999999999996,-1.799999999999999,-6.099999999999994,39.80000000000007,3.299999999999997,0.41999999999999993,0.7698025911149526,0.8500869079753618,-19.58999999999999,-21.0,1.4100000000000108
46,3,48,1,25.08,105.58,94.0,53.1,1.97,133.0,11.1,7.8,706.02,75.34,10.23,33.91,96.08,110.49,48.8,2.76,127.8,10.6,13.6,628.38,94.85,9.63,1,-8.829999999999998,-16.489999999999995,9.5,4.300000000000004,-0.7899999999999998,0.5,-5.8,5.200000000000003,77.63999999999999,-19.50999999999999,0.5999999999999996,0.9783512720283855,1.0465049207705133,-11.579999999999998,14.409999999999997,-25.989999999999995
49,2,45,0,16.74,110.08,92.58,51.1,2.89,120.4,8.9,8.0,581.05,70.9,10.51,30.16,88.76,119.47,51.1,2.52,127.9,10.7,11.5,682.21,100.25,9.71,1,-13.420000000000002,-26.89,21.319999999999993,0.0,0.3700000000000001,-1.799999999999999,-3.5,-7.5,-101.16000000000008,-29.349999999999994,0.7999999999999989,1.043037286724055,1.0853015002451398,-17.5,30.709999999999994,-48.209999999999994
56,1,55,1,10.42,91.63,70.16,42.9,3.71,125.0,7.1,7.6,484.8,57.32,5.45,14.69,73.56,57.07,52.5,2.93,123.8,7.4,10.9,439.56,44.98,4.02,0,-4.27,13.089999999999996,18.069999999999993,-9.600000000000001,0.7799999999999998,-0.3000000000000007,-3.3000000000000007,1.2000000000000028,45.24000000000001,12.340000000000003,1.4300000000000006,0.9537790981811991,0.6228308825896669,-21.47,-16.490000000000002,-4.979999999999997
